ID,用例名称,所属模块,前置条件,步骤描述,预期结果,用例等级,标签,用例状态
TC-001,"Agent 创建：通过表单输入 Agent 名称、描述、baseURL、APIKey 创建 Agent",Agent 生命周期管理,"用户已登录系统，进入 Agent 创建页面","1. 打开 Agent 创建页面
2. 输入 Agent 名称
3. 输入 Agent 描述
4. 输入 baseURL
5. 输入 APIKey
6. 点击提交按钮","1. 系统成功创建 Agent 记录
2. APIKey 加密存储到数据库
3. 页面跳转到 Agent 列表或详情页",P0,"功能测试",待执行
TC-002,"APIKey 加密存储：验证 APIKey 敏感信息加密存储到数据库",Agent 生命周期管理,"已创建包含 APIKey 的 Agent 记录，数据库可访问","1. 创建 Agent 时输入明文 APIKey
2. 查看数据库中 api_key_encrypted 字段值
3. 尝试从数据库字段恢复明文","1. 数据库中存储的是加密后的内容，不是明文
2. 只有系统通过解密才能得到原始 APIKey",P1,"功能测试,安全测试",待执行
TC-003,"Agent 连接测试：创建/编辑时测试连接验证 Agent 是否可正常调用",Agent 生命周期管理,"用户正在创建/编辑 Agent，已填写 baseURL 和 APIKey","1. 在创建/编辑页面点击「测试连接」按钮
2. 等待系统返回测试结果","1. 如果 Agent 可正常调用，返回连接成功提示
2. 如果 Agent 不可访问，返回连接失败提示和错误信息",P0,"功能测试",待执行
TC-004,"Agent 配置保存：验证新建 Agent 配置正确保存到数据库",Agent 生命周期管理,"用户已填写 Agent 创建表单所有必填项","1. 用户点击提交保存
2. 从数据库查询该 Agent 记录","1. Agent 配置成功保存到数据库
2. 所有字段（名称、描述、baseURL）保存正确",P1,"功能测试",待执行
TC-005,"Agent 信息编辑：编辑已注册 Agent 的所有字段信息",Agent 生命周期管理,"已存在一个已注册的 Agent，用户进入编辑页面","1. 打开 Agent 编辑页面
2. 修改 Agent 名称
3. 修改 Agent 描述
4. 修改 baseURL
5. 修改 APIKey
6. 保存修改","1. 所有字段都支持编辑
2. 修改后的信息正确保存更新",P1,"功能测试",待执行
TC-006,"编辑后重新测试：编辑后支持重新测试连接验证配置正确性",Agent 生命周期管理,"用户已打开 Agent 编辑页面并修改了连接配置","1. 修改配置后点击「测试连接」
2. 查看返回结果","1. 可重新发起连接测试
2. 根据配置正确性返回成功/失败",P1,"功能测试",待执行
TC-007,"编辑更新保存：修改后正确更新保存 Agent 配置",Agent 生命周期管理,"用户已打开 Agent 编辑页面并修改了配置信息","1. 修改完成后点击保存
2. 从数据库读取 Agent 信息","1. 修改后的配置正确更新保存到数据库
2. 原始配置被覆盖",P1,"功能测试",待执行
TC-008,"Agent 删除：删除不需要的 Agent，删除前显示二次确认弹窗",Agent 生命周期管理,"已存在一个不需要的 Agent 在列表中","1. 在 Agent 列表点击删除按钮
2. 查看系统弹窗
3. 点击确认删除
4. 查看 Agent 列表","1. 删除前弹出二次确认弹窗提示
2. 确认后 Agent 从列表中删除（软删除）",P2,"功能测试",待执行
TC-009,"关联数据级联删除：删除 Agent 后同时清理关联的所有测试结果",Agent 生命周期管理,"待删除 Agent 存在关联的测试执行结果","1. 删除该 Agent
2. 查询数据库中关联的执行结果","1. 删除 Agent 的同时，关联的所有测试执行结果被一起清理",P2,"功能测试",待执行
TC-010,"Agent 列表展示：查看所有已注册 Agent 列表，展示名称、创建时间、最后测试时间",Agent 生命周期管理,"系统中已有多个已注册 Agent","1. 进入 Agent 列表页面","1. 列表展示所有已注册 Agent
2. 每条记录展示 Agent 名称、创建时间、最后测试时间",P0,"功能测试",待执行
TC-011,"按名称搜索过滤：按关键词搜索过滤 Agent 列表",Agent 生命周期管理,"系统中存在多个不同名称的 Agent","1. 在搜索框输入关键词
2. 点击搜索按钮","1. 列表只显示名称包含关键词的 Agent
2. 关键词为空时显示所有 Agent",P2,"功能测试",待执行
TC-012,"进入详情页：点击列表项跳转到 Agent 详情页",Agent 生命周期管理,"Agent 列表已加载完成，显示多个 Agent 项","1. 点击列表中某个 Agent 项","1. 正确跳转到该 Agent 的详情页面
2. 详情页显示该 Agent 的完整配置信息",P2,"功能测试",待执行
TC-013,"必填项为空创建：Agent 名称或 baseURL 为空时，提示错误不允许创建",Agent 生命周期管理,"用户进入 Agent 创建页面","1. 留空 Agent 名称，填写其他字段，点击提交
2. 留空 baseURL，填写其他字段，点击提交","1. 两种情况下系统都提示必填项不能为空
2. 不允许创建 Agent",P2,"功能测试,边界测试",待执行
TC-014,"无效 baseURL 测试连接：baseURL 格式错误或不可达，测试连接返回失败提示",Agent 生命周期管理,"用户在 Agent 创建页面","1. 输入格式错误的 baseURL（如缺少 http://），点击测试连接
2. 输入无法访问的 baseURL，点击测试连接","1. 两种情况都返回连接失败提示
2. 给出明确的错误信息说明原因",P2,"功能测试,边界测试",待执行
TC-015,"重复名称创建：同一名称多次创建，系统正确处理",Agent 生命周期管理,"已存在一个名称为「test-agent」的 Agent","1. 再次创建名称为「test-agent」的 Agent
2. 填写其他必填字段，提交","1. 系统正确处理，可以允许或提示重复，不崩溃",P2,"功能测试,边界测试",待执行
